,id_left,text_left,id_right,text_right,label
33,Q444,how many redwall books are there,D2807-2,"It operates through several programs, the largest of which, the Housing Choice Voucher program, pays a large portion of the rents and utilities of about 2.1 million households.",0.0
34,Q444,how many redwall books are there,D979-3,"The major languages are Yoruba , Hausa , Igbo , Edo , Fulfulde , Kanuri , and Ibibio .",0.0
35,Q444,how many redwall books are there,D1414-0,The Serenity Prayer is the common name for an originally untitled prayer by the American theologian Reinhold Niebuhr (1892–1971).,0.0
36,Q2403,who is director jack smight,D2257-0,"Jack Smight (March 9, 1925 - September 1, 2003) was an American theatre and film director .",1.0
37,Q2403,who is director jack smight,D696-0,"The Gulf War (2 August 1990 – 28 February 1991), codenamed Operation Desert Storm (17 January 1991 – 28 February 1991) was a war waged by a U.N.-authorized Coalition force from 34 nations led by the United States , against Iraq in response to Iraq's invasion and annexation of Kuwait .",0.0
38,Q2403,who is director jack smight,D1784-9,"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico .",0.0
39,Q2403,who is director jack smight,D2575-4,This layer of organic semiconductor is situated between two electrodes.,0.0
40,Q2403,who is director jack smight,D1599-1,The Four Thirds system is a standard created by Olympus and Kodak for digital single-lens reflex camera (DSLR) design and development.<ref name='DPReview.com 2001-02-13'>,0.0
41,Q2403,who is director jack smight,D104-0,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",0.0
42,Q2114,what is sherlock holmes job,D1992-1,"A London-based ""consulting detective"" whose abilities border on the fantastic, Holmes is famous for his astute logical reasoning , his ability to adopt almost any disguise, and his use of forensic science skills to solve difficult cases.",1.0
43,Q2114,what is sherlock holmes job,D2064-7,"The term ""button-down"" (which refers a type of shirt which has a collar fastened down by buttons) is sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front"".",0.0
44,Q2114,what is sherlock holmes job,D1843-2,"A mnemonic (, with a silent ""m""), or mnemonic device, is any learning technique that aids information retention.",0.0
45,Q2114,what is sherlock holmes job,D2601-0,"Shoulder impingement syndrome, also called painful arc syndrome, supraspinatus syndrome, swimmer's shoulder, and thrower's shoulder, is a clinical syndrome which occurs when the tendons of the rotator cuff muscles become irritated and inflamed as they pass through the subacromial space, the passage beneath the acromion .",0.0
46,Q2114,what is sherlock holmes job,D1392-1,"A confectionery store (more commonly referred to as a sweet shop in the United Kingdom, a candy store in the North America, or a lolly shop in Australia) sells confectionery and is usually targeted to children.",0.0
47,Q2114,what is sherlock holmes job,D1908-1,"Throughout the Mary Poppins series, which lasted from 1934 to 1988, Mary Shepard was the illustrator and acted as a second author.",0.0
48,Q1086,where did erisa come from,D1046-1,ERISA was enacted to protect the interests of employee benefit plan participants and their beneficiaries by:,1.0
49,Q1086,where did erisa come from,D2163-0,Copper is a chemical element with the symbol Cu (from ) and atomic number 29.,0.0
50,Q1086,where did erisa come from,D568-0,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID, is an autosomal recessive metabolic disorder that causes immunodeficiency .",0.0
51,Q1086,where did erisa come from,D2289-7,"When the trainer shut down his operation in 2004, Bubbles was moved to the Center for Great Apes , a sanctuary in Wauchula, Florida , where he has lived since 2005.",0.0
52,Q1086,where did erisa come from,D326-11,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",0.0
53,Q1086,where did erisa come from,D1142-0,The Controlled Substances Act (CSA) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970 .,0.0
54,Q1158,what is a form of legal ownership,D1113-0,"Ownership of property may be private, collective, or common and the property may be objects , land/real estate , or intellectual property .",1.0
55,Q1158,what is a form of legal ownership,D466-8,"According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008.",0.0
56,Q1158,what is a form of legal ownership,D1992-1,"A London-based ""consulting detective"" whose abilities border on the fantastic, Holmes is famous for his astute logical reasoning , his ability to adopt almost any disguise, and his use of forensic science skills to solve difficult cases.",0.0
57,Q1158,what is a form of legal ownership,D1036-9,"In 494 BC, the Persians regrouped, and attacked the epicentre of the revolt in Miletus.",0.0
58,Q1158,what is a form of legal ownership,D1036-10,"At the Battle of Lade , the Ionians suffered a decisive defeat, and the rebellion collapsed, with the final members being stamped out the following year.",0.0
59,Q1158,what is a form of legal ownership,D1898-2,"Depending on class model used, the middle class may constitute anywhere from 25% to 66% of households.",0.0
60,Q1877,what year lord of rings made?,D1774-2,"It was written in stages between 1937 and 1949, much of it during World War II .",1.0
61,Q1877,what year lord of rings made?,D2201-0,"Elizabeth Ann Bloomer Warren ""Betty"" Ford (April 8, 1918 – July 8, 2011), was First Lady of the United States from 1974 to 1977 during the presidency of her husband Gerald Ford .",0.0
62,Q1877,what year lord of rings made?,D1576-1,"Pronounced was an ocean liner for the Italian Line (Società di navigazione Italia) home ported in Genoa , Italy, most famous for its sinking in 1956, when 52 people died (51 from immediate impact).",0.0
63,Q1877,what year lord of rings made?,D2154-14,"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million).",0.0
64,Q1877,what year lord of rings made?,D2468-2,"Lend-Lease () was the law that started a program under which the United States of America supplied the United Kingdom , the USSR , Republic of China , Free France , and other Allied nations with materiel between 1941 and 1945.",0.0
65,Q1877,what year lord of rings made?,D1063-0,"Barack Hussein Obama II (; born August 4, 1961) is the 44th and current President of the United States , the first African American to hold the office.",0.0
66,Q679,what channel is letterman on,D662-0,Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS .,1.0
67,Q679,what channel is letterman on,D720-3,The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.,0.0
68,Q679,what channel is letterman on,D1156-0,"Robert William Gary Moore (4 April 1952 – 6 February 2011), was a Northern Irish musician, most widely recognised as a singer and guitarist.",0.0
69,Q679,what channel is letterman on,D32-1,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",0.0
70,Q679,what channel is letterman on,D1764-3,The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.,0.0
71,Q679,what channel is letterman on,D2200-3,The English Renaissance was a cultural and artistic movement in England dating from the late 15th and early 16th centuries to the early 17th century.,0.0
72,Q1972,what are the players in Quidditch?,D1859-2,"Matches are played between two teams of seven players riding flying broomsticks, using four balls and six elevated ring-shaped goals, three on each side of the Quidditch pitch (field).",1.0
73,Q1972,what are the players in Quidditch?,D2468-2,"Lend-Lease () was the law that started a program under which the United States of America supplied the United Kingdom , the USSR , Republic of China , Free France , and other Allied nations with materiel between 1941 and 1945.",0.0
74,Q1972,what are the players in Quidditch?,D1940-2,"As of April 2013, Zuckerberg is the chairman and chief executive of Facebook, Inc. and in 2013 his personal wealth was estimated to be US$13 .3 billion .",0.0
75,Q1972,what are the players in Quidditch?,D1950-0,Kathmandu ( ; ) is the capital and largest urban agglomerate of Nepal .,0.0
76,Q1972,what are the players in Quidditch?,D1246-0,"Thomas Jefferson (April 13, 1743 (April 2, 1743 O.S. ) – July 4, 1826) was an American Founding Father , the principal author of the Declaration of Independence (1776) and the third President of the United States (1801–1809).",0.0
77,Q1972,what are the players in Quidditch?,D1075-5,Some spoilers are added to cars primarily for styling purposes and have either little aerodynamic benefit or even make the aerodynamics worse.,0.0
78,Q2005,when was james madison in the house of representatives,D1891-9,"In 1789, Madison became a leader in the new House of Representatives , drafting many basic laws.",1.0
79,Q2005,when was james madison in the house of representatives,D363-7,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .",0.0
80,Q2005,when was james madison in the house of representatives,D1158-2,"Web hosts are companies that provide space on a server owned or leased for use by clients, as well as providing Internet connectivity, typically in a data center .",0.0
81,Q2005,when was james madison in the house of representatives,D2254-1,Its current senators are Democrat Mary Landrieu and Republican David Vitter .,0.0
82,Q2005,when was james madison in the house of representatives,D2103-1,"The show is based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel ).",0.0
83,Q2005,when was james madison in the house of representatives,D1649-5,"Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.",0.0
84,Q2097,what was the first honda car,D1977-1,It was launched in March 1964.,1.0
85,Q2097,what was the first honda car,D2207-1,"A gristmill (also: grist mill, corn mill or flour mill) grinds grain into flour .",0.0
86,Q2097,what was the first honda car,D1964-0,Hadley (right) discussing the 2006 Israel-Lebanon crisis with Bush and Rice.,0.0
87,Q2097,what was the first honda car,D98-1,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",0.0
88,Q2097,what was the first honda car,D958-1,Area code 810 is the telephone area code serving eastern Michigan .,0.0
89,Q2097,what was the first honda car,D2599-3,"The name TMZ stands for the historic "" studio zone "" or 30-mile zone radius from the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles.",0.0
90,Q1026,what are use taxes?,D989-9,A use tax is a type of excise tax levied in the United States by numerous state governments.,1.0
91,Q1026,what are use taxes?,D1177-13,"The ancient Greeks thought that the Trojan War was a historical event that had taken place in the 13th or 12th century BC, and believed that Troy was located in modern-day Turkey near the Dardanelles .",0.0
92,Q1026,what are use taxes?,D2291-0,"Bloemfontein (, ; Dutch for ""fountain of flowers"") is the capital city of the Free State Province of South Africa ; and, as the judicial capital of the nation, one of South Africa's three national capitals – the other two being Cape Town , the legislative capital, and Pretoria , the administrative capital.",0.0
93,Q1026,what are use taxes?,D1790-11,"After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.",0.0
94,Q1026,what are use taxes?,D778-2,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .",0.0
95,Q1026,what are use taxes?,D1913-2,"Ischemia is generally caused by problems with blood vessels , with resultant damage to or dysfunction of tissue.",0.0
96,Q1168,when did abraham lincoln write the emancipation proclamation??,D1122-1,"The Emancipation Proclamation was an order issued to all segments of the Executive branch (including the Army and Navy) of the United States by President Abraham Lincoln on January 1, 1863, during the American Civil War .",1.0
97,Q1168,when did abraham lincoln write the emancipation proclamation??,D337-0,"Belize , is a country located on the northeastern coast of Central America.",0.0
98,Q1168,when did abraham lincoln write the emancipation proclamation??,D1884-0,"RMS Titanic was a British passenger liner that sank in the North Atlantic Ocean on 15 April 1912 after colliding with an iceberg during her maiden voyage from Southampton , UK to New York City , US.",0.0
99,Q1168,when did abraham lincoln write the emancipation proclamation??,D2651-2,"GDP per capita is similar to the average European economies but the economy is critically dependent upon substantial support from the Danish government, which supplies about half the revenues of the home rule government who in turn employ about 8,000 Greenlanders out of a labor force of 40,156 (Jan. 2012).",0.0
100,Q1168,when did abraham lincoln write the emancipation proclamation??,D935-9,"Delaware was one of the 13 colonies participating in the American Revolution and on December 7, 1787, became the first state to ratify the Constitution of the United States , thereby becoming known as The First State.",0.0
101,Q1168,when did abraham lincoln write the emancipation proclamation??,D847-1,"Turkey is bordered by eight countries: Bulgaria to the northwest; Greece to the west; Georgia to the northeast; Armenia , Iran and the Azerbaijani exclave of Nakhchivan to the east; and Iraq and Syria to the southeast.",0.0
102,Q1262,Who controlled Alaska before US?,D1207-4,"Alaska was purchased from Russia on March 30, 1867, for $7.2 million ($ adjusted for inflation) at approximately two cents per acre ($4.74/km2).",1.0
103,Q1262,Who controlled Alaska before US?,D2154-14,"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million).",0.0
104,Q1262,Who controlled Alaska before US?,D1415-0,"The Declaration and Resolves of the First Continental Congress (also known as the Declaration of Colonial Rights, or the Declaration of Rights), was a statement adopted by the First Continental Congress on October 14, 1774, in response to the Intolerable Acts passed by the British Parliament .",0.0
105,Q1262,Who controlled Alaska before US?,D1139-0,Full-time employment is employment in which a person works a minimum number of hours defined as such by his/her employer.,0.0
106,Q1262,Who controlled Alaska before US?,D1458-0,A millwright is a craftsman or tradesman engaged with the construction and maintenance of machinery .,0.0
107,Q1262,Who controlled Alaska before US?,D2061-0,"Metformin ( BP , pronounced , ; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class.",0.0
108,Q1108,who wrote rhythm of the ancient mariner,D1066-2,"The Rime of the Ancient Mariner (originally The Rime of the Ancyent Marinere) is the longest major poem by the English poet Samuel Taylor Coleridge , written in 1797–98 and published in 1798 in the first edition of Lyrical Ballads .",1.0
109,Q1108,who wrote rhythm of the ancient mariner,D1415-2,"It was similar to the Declaration of Rights and Grievances , passed by the Stamp Act Congress a decade earlier.",0.0
110,Q1108,who wrote rhythm of the ancient mariner,D203-1,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.",0.0
111,Q1108,who wrote rhythm of the ancient mariner,D185-9,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",0.0
112,Q1108,who wrote rhythm of the ancient mariner,D861-3,Pigs are omnivores and are highly social and intelligent animals.,0.0
113,Q1108,who wrote rhythm of the ancient mariner,D357-2,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.",0.0
114,Q480,how does black pepper grow,D473-0,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .",1.0
115,Q480,how does black pepper grow,D743-1,"Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .",0.0
116,Q480,how does black pepper grow,D1611-0,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.,0.0
117,Q480,how does black pepper grow,D743-2,The color burgundy is similar to other shades of dark red such as maroon .,0.0
118,Q480,how does black pepper grow,D1929-0,"Victoria Jackson (born August 2, 1959) is an American comedian, actress, satirist, singer and internet blogger best known as a cast member of the NBC television sketch comedy series Saturday Night Live (SNL) from 1986 to 1992.",0.0
119,Q480,how does black pepper grow,D261-0,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .,0.0
120,Q626,what does base jumping stand for,D612-2,"BASE is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs ).",1.0
121,Q626,what does base jumping stand for,D2575-4,This layer of organic semiconductor is situated between two electrodes.,0.0
122,Q626,what does base jumping stand for,D43-2,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",0.0
123,Q626,what does base jumping stand for,D811-2,"Later, after a disfiguring car crash in 1956, and alcohol and prescription drug abuse, he became erratic.",0.0
124,Q626,what does base jumping stand for,D661-4,"Silk is a natural protein fibre , some forms of which can be woven into textiles .",0.0
125,Q626,what does base jumping stand for,D1066-2,"The Rime of the Ancient Mariner (originally The Rime of the Ancyent Marinere) is the longest major poem by the English poet Samuel Taylor Coleridge , written in 1797–98 and published in 1798 in the first edition of Lyrical Ballads .",0.0
126,Q1945,what state is Mn,D1836-0,Minnesota () is a U.S. state located in the Midwestern United States .,1.0
127,Q1945,what state is Mn,D1100-0,A gasser was a type of hot rod originating on the dragstrips of the United States in the late 1950s and continued until the early 1970s.,0.0
128,Q1945,what state is Mn,D1131-1,"It is part of the Jaguar Land Rover group, a subsidiary of Tata Motors of India.",0.0
129,Q1945,what state is Mn,D1-3,A glacier cave is a cave formed within the ice of a glacier .,0.0
130,Q1945,what state is Mn,D1069-1,"A PAC file contains a JavaScript function “FindProxyForURL(url, host)”.",0.0
131,Q1945,what state is Mn,D729-0,"The George Washington University (GW, GWU, or George Washington) is a comprehensive private , coeducational research university located in Washington, D.C. .",0.0
132,Q18,how a rocket engine works,D18-3,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",1.0
133,Q18,how a rocket engine works,D339-1,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,0.0
134,Q18,how a rocket engine works,D2034-1,"He was a key figure in the foundation of the Democratic Republic of Vietnam in 1945, as well as the People’s Army of Vietnam (PAVN) and the Việt Cộng (NLF or VC) during the Vietnam War .",0.0
135,Q18,how a rocket engine works,D140-1,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",0.0
136,Q18,how a rocket engine works,D757-1,"The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF.",0.0
137,Q18,how a rocket engine works,D1784-9,"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico .",0.0
138,Q1708,who wrote the song cocaine,D1619-0,"Cocaine is a song written and recorded by JJ Cale in 1976, but also known as a cover version recorded by Eric Clapton .",1.0
139,Q1708,who wrote the song cocaine,D1988-8,"The highest point is Mt. Ka'ala in the Waianae Range, rising to above sea level.",0.0
140,Q1708,who wrote the song cocaine,D1236-0,"Puff, the Magic Dragon is a song written by Leonard Lipton and Peter Yarrow , and made popular by Yarrow's group Peter, Paul and Mary in a 1963 recording.",0.0
141,Q1708,who wrote the song cocaine,D1964-0,Hadley (right) discussing the 2006 Israel-Lebanon crisis with Bush and Rice.,0.0
142,Q1708,who wrote the song cocaine,D991-2,It was first identified by Dr. Ernst von Romberg in 1891.,0.0
143,Q1708,who wrote the song cocaine,D1859-2,"Matches are played between two teams of seven players riding flying broomsticks, using four balls and six elevated ring-shaped goals, three on each side of the Quidditch pitch (field).",0.0
144,Q2049,what is the federal death tax,D1935-0,"The estate tax in the United States is a tax imposed on the transfer of the ""taxable estate "" of a deceased person, whether such property is transferred via a will , according to the state laws of intestacy or otherwise made as an incident of the death of the owner, such as a transfer of property from an intestate estate or trust, or the payment of certain life insurance benefits or financial account sums to beneficiaries.",1.0
145,Q2049,what is the federal death tax,D1647-0,"The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins .",0.0
146,Q2049,what is the federal death tax,D789-3,1 basis point = 1 permyriad = one one-hundredth percent,0.0
147,Q2049,what is the federal death tax,D1649-4,Ethnicity or ethnic group is a socially defined category based on common culture or nationality .,0.0
148,Q2049,what is the federal death tax,D473-3,"Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.",0.0
149,Q2049,what is the federal death tax,D1030-0,"LR44 is the IEC designation for an alkaline 1.5 volt button cell , commonly used in small LED flashlights , digital thermometers , calculators , calipers , watches , clocks , toys and laser pointers .",0.0
150,Q2893,where is kos from?,D2683-0,"Kevin Brereton (born February 20, 1972), better known by his stage name k-os (; ""chaos""), is a Canadian rapper , singer , songwriter and record producer .",1.0
151,Q2893,where is kos from?,D26-10,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",0.0
152,Q2893,where is kos from?,D749-1,"Saint Joseph's Day, March 19, the Feast of St. Joseph is in Western Christianity the principal feast day of Saint Joseph , Spouse of the Blessed Virgin Mary .",0.0
153,Q2893,where is kos from?,D1750-7,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).",0.0
154,Q2893,where is kos from?,D1356-1,"Some damages that might be under this category would be: aches, temporary and permanent limitations on activity, potential shortening of life, depression or scarring .",0.0
155,Q2893,where is kos from?,D942-0,Thunder is the sound caused by lightning .,0.0
156,Q2104,who is shem in the bible,D1983-2,"He is most popularly regarded as the eldest son, though some traditions regard him as the second son.",1.0
157,Q2104,who is shem in the bible,D1958-0,"Bleeding Kansas, Bloody Kansas or the Border War, was a series of violent political confrontations involving anti-slavery Free-Staters and pro-slavery "" Border Ruffian "" elements, that took place in the Kansas Territory and the neighboring towns of Missouri between 1854 and 1861.",0.0
158,Q2104,who is shem in the bible,D75-1,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",0.0
159,Q2104,who is shem in the bible,D1770-3,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .,0.0
160,Q2104,who is shem in the bible,D978-12,"But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of senators led by Marcus Junius Brutus .",0.0
161,Q2104,who is shem in the bible,D396-0,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .,0.0
162,Q1205,who founded walmart,D1154-4,"The company was founded by Sam Walton in 1962, incorporated on October 31, 1969, and publicly traded on the New York Stock Exchange in 1972.",1.0
163,Q1205,who founded walmart,D1923-0,Elizabeth Imogene Webber (formerly Lansing and Spencer) is a fictional character on the ABC Daytime soap opera General Hospital .,0.0
164,Q1205,who founded walmart,D2459-0,"The USA PATRIOT Act of 2001 is an Act of the U.S. Congress that was signed into law by President George W. Bush on October 26, 2001.",0.0
165,Q1205,who founded walmart,D163-3,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",0.0
166,Q1205,who founded walmart,D773-2,"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant.",0.0
167,Q1205,who founded walmart,D43-2,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",0.0
168,Q1962,What is a surveyors wheel,D1851-1,"A surveyor's wheel, also called a clickwheel, hodometer, waywiser, trundle wheel , measuring wheel, or perambulator is a device for measuring distance.",1.0
169,Q1962,What is a surveyors wheel,D604-0,"Cambria is a village in Columbia County , Wisconsin , United States .",0.0
